Project ID, Project Name, Project PIF, Monthly Billsec in minutes, 
787, BVM_0930_TWU Merger - Western, 3583, 34, 
786, BVM_0930_TWU Merger - Eastern, 3583, 1750, 
788, BVM_1002_UFCW401, 3586, 30185, 
772, BVM_1021_Mike Test 5, FNDP0014, 10, 
731, IBVM_0820_MIKE_TEST3, FNDP0002, 1, 
789, IBVM_1006_CNIB Atlantic, 3585, 952, 
790, BVM_1007_Tactical Outreach Coquitlam Oct 8th, 8888, 5727, 
791, BVM_1007_[DELETE] Tactical Outreach Coquitlam Oct 8th, 8888, 0, 
792, BVM_1017_CourtnenayAlberni_NoM, FNDP0019, 524, 
794, BVM_1015_Vision Vancouver Remaining Invites, 3553, 312, 
796, BVM_1017_CNIB Barrie, 3598, 1785, 
798, BVM_1017_NBU - ENGLISH, 3533, 228, 
799, BVM_1017_NBU - FRENCH, 3533, 121, 
795, Polling_1017_FCB, 3610, 418, 
802, BVM_1020_TWU_ENG_WEST, 3583, 8587, 
801, BVM_1020_TWU - FRENCH, 3583, 1802, 
800, BVM_1020_TWU - ENG EAST, 3583, 1436, 
803, BVM_1020_PIPSC - ENGLISH EAST, 3599, 424, 
804, BVM_1020_PIPSC - FRENCH QUEBEC, 3599, 104, 
805, BVM_1020_PIPSC - ENGLISH WEST, 3599, 147, 
809, BVM_1023_OttawaWestNepean-MunicipleElection, FNDP0023, 6752, 
810, BVM_1022_Tactical Outcomes Gaetan Intro, 3615, 9164, 
808, BVM_1026_TO_SchoolBoard_Ward20_Manna-CHINESE, FNDP0022, 4064, 
811, BVM_1023_CUPE NATIONAL TTH invite_call1_ATL, 3562, 722, 
812, BVM_1023_CUPE NATIONAL TTH invite_call2_FRE_QC, 3562, 1079, 
813, BVM_1023_CUPE NATIONAL TTH invite_call3_ON_MB, 3562, 1309, 
814, BVM_1023_CUPE NATIONAL TTH invite_call4_BC_AB_SK, 3562, 647, 
815, BVM_1023_UNITE HERE Local 40, 3614, 3672, 
806, Polling_1026_Ward9&10Brampton_E-1Reminder, FNDP0020, 3441, 
816, BVM_1026_Catherine McKenney E-1 Reminder, FNDP0024, 467, 
819, BVM_1023_UNITE HERE Local 40, 3614, 1388, 
817, Polling_1026_wilsontest, regular, 11, 
807, BVM_1026_TO_SchoolBoard_Ward20_Manna-TAMIL, FNDP0021, 477, 
820, BVM_1027_ Vision_Vancouver_October27th TTH, 3554, 32749, 
821, BVM_1027_[ALSO NOT WORKING] Vision_Vancouver_October27th TTH, 3554, 1, 
823, BVM_1027_Vision Vancouver October 29th TTH, 8888, 1, 
824, BVM_1027_VV Second Round October 29th TTH, 3554, 33144, 
733, BVM_0822_Jonathan(AnotherTest), FNDP0004, 1, 
825, BVM_1029_NorthIslandPowellRiver-AlLCandidates, FNDP0025, 175, 
828, BVM_1101_TBoC - Nanaimo - Nov 9 2014, FNDP0026, 2, 
829, BVM_1101_TBoC - Parksville - 9 Nov 2014, FNDP0027, 2, 
826, Polling_1030_FCB_LONDON, 3628, 149, 
827, Polling_1030_FCB_WINDSOR, 3628, 243, 
830, BVM_1030_Tactical Outcomes Fin and Selina BVM, 3609, 2794, 
831, Polling_1030_FCB_WINDSOR, 3628, 150, 
740, Polling_0820_Vision IVR With Name English, 0000, 3, 
822, Polling_1026_wilsonTest, FNDPWTest, 1, 
756, Polling_0909_FCB, 3545, 1, 
835, BVM_1103_BCGEU Children@Risk, 3631, 12988, 
Number of Projects this month, 49, 
Total Billsec this month in minutes, 170144, 
